genome,fitness,behavior_descriptor
"[ 0.18542271 -0.90251533  0.24060797  0.09748001  0.29056124 -0.32529524
  0.44997711]",0,[ 0.185 -0.903  0.241]
"[-0.23165437 -0.49560155 -0.99990677  0.55245615 -0.47712648  0.31980978
 -0.11498142]",0,[-0.232 -0.496 -1.   ]
"[ 0.96387104 -0.74123551 -0.32441912 -0.58097855 -0.08805761  0.58254515
  0.81225335]",0,[ 0.964 -0.741 -0.324]
"[ 0.57735346  0.42809071 -0.71457895  0.55052604 -0.2865079  -0.65987024
  0.90820964]",0,[ 0.577  0.428 -0.715]
"[ 0.33853615  0.82624103  0.58641483  0.24339293  0.54189962 -0.89790888
 -0.59892312]",0,[0.339 0.826 0.586]
"[ 1.04639649 -0.48710934 -0.77921521  0.89281597  0.58716482 -0.90541214
 -0.07726331]",0,[ 1.046 -0.487 -0.779]
"[ 0.00447153 -0.54991565  0.17950936 -0.32351406 -0.25835032 -0.4354948
  0.77196598]",0,[ 0.004 -0.55   0.18 ]
"[-0.76794701 -0.99305573  0.35481206 -0.69205534 -0.27185687 -0.81373989
 -0.54656606]",0,[-0.768 -0.993  0.355]
"[ 0.38900089  0.12900604 -0.55775328 -0.78095525  0.61550646 -0.23444296
  0.55663169]",0,[ 0.389  0.129 -0.558]
"[ 0.91730161  0.62717898  0.27283719  0.03364206  0.28830399 -0.76405147
 -0.76843127]",0,[0.917 0.627 0.273]
"[ 0.64778912 -0.765934   -0.91729191  0.1248913   0.91152053  0.43208458
 -0.57148084]",0,[ 0.648 -0.766 -0.917]
"[ 0.10845012  0.67212318 -0.81601249  0.65306983  0.29906232  0.68468608
  0.36376921]",0,[ 0.108  0.672 -0.816]
"[ 0.02185536  0.16599229  0.89477531  0.96293887 -0.27123602 -0.91539192
  0.3670522 ]",0,[0.022 0.166 0.895]
"[ 0.4202056   0.5082351   0.34655557 -0.42571559  0.48098262  0.68276804
  0.11755598]",0,[0.42  0.508 0.347]
"[ 0.6173461  -0.42527408  0.62737236 -0.13449608  0.05966432 -0.5549412
  0.47975596]",0,[ 0.617 -0.425  0.627]
"[-0.81317489 -0.60867804 -0.08572938 -0.1032452   0.38283841 -0.13274155
  0.71276089]",0,[-0.813 -0.609 -0.086]
