genome,fitness,behavior_descriptor
"[-0.93777494 -0.90726606 -0.14268051 -0.52392101 -0.90660693 -0.21013436
 -0.07764448]",0,[-0.938 -0.907 -0.143]
"[-0.97476067 -0.71496401  0.09507607 -0.82924927  0.26636584  0.25449496
 -0.91395204]",0,[-0.975 -0.715  0.095]
"[ 0.17783612  0.11316337 -0.11402123  0.09990271 -0.31787975 -0.78977842
 -0.91542182]",0,[ 0.178  0.113 -0.114]
"[-0.79600298  0.32408382 -0.92279609  0.89922034 -0.35271428  0.31972482
 -0.42102834]",0,[-0.796  0.324 -0.923]
"[ 0.07640633  0.32800468 -0.164026   -0.30042262 -0.09934115  0.2518954
  0.77871736]",0,[ 0.076  0.328 -0.164]
"[-0.36722494 -0.66094017  0.40487007 -0.18058761 -0.08331684  0.83320749
  0.53193256]",0,[-0.367 -0.661  0.405]
"[-0.51069173 -0.54772236 -0.01154871 -0.12668207  0.04652994 -0.6226128
 -0.01601802]",0,[-0.511 -0.548 -0.012]
"[-0.62801949 -0.22406777  0.3815941  -0.30073456  0.62716664  0.47677419
  0.65318995]",0,[-0.628 -0.224  0.382]
"[-0.8223411  -0.04072753 -0.16573689  0.07256366  0.81041274 -0.02589133
 -0.83074416]",0,[-0.822 -0.041 -0.166]
"[-0.30419043 -0.96742079  0.8818945   0.79967114  0.38624862  0.34868809
 -0.04008845]",0,[-0.304 -0.967  0.882]
"[-0.79265204  0.55497181  0.32742866  0.77853497  0.51959249 -0.45369061
 -0.12438351]",0,[-0.793  0.555  0.327]
"[-0.04296531 -0.05999118  0.32269039 -0.85621034 -0.35963395  0.4527572
 -0.93748475]",0,[-0.043 -0.06   0.323]
"[-0.40704539 -0.59596066  0.60362486 -0.99518857 -0.03457281 -0.4357279
 -0.22551823]",0,[-0.407 -0.596  0.604]
"[-0.4375833   0.83174368  0.49419251  0.87900928 -0.12217761 -0.0693999
 -0.45302174]",0,[-0.438  0.832  0.494]
"[-0.50993258 -0.29564719 -0.67028185  0.1995377  -0.7521392  -0.5079665
 -0.22237241]",0,[-0.51  -0.296 -0.67 ]
"[-0.08895694  0.57257154  0.76676593  0.27110658  0.30576468 -0.55916297
  0.27542356]",0,[-0.089  0.573  0.767]
"[-0.13826316  0.10983888  0.15481563 -0.50690218 -0.86602697  0.40464229
 -0.83012387]",0,[-0.138  0.11   0.155]
"[ 0.87593806  0.62868415  0.31151436 -0.10130102 -0.09945501 -0.61271721
 -0.62687904]",0,[0.876 0.629 0.312]
"[ 0.17364377  0.70372405  0.80522698  0.14115814  0.74825593  0.49694384
 -0.50315011]",0,[0.174 0.704 0.805]
"[ 0.82552894  0.42203682  0.81505234 -0.25606416 -0.00621894 -0.81125142
 -0.63796112]",0,[0.826 0.422 0.815]
"[-0.67333335 -0.74847206  0.32906359  0.37644403 -0.69625591 -0.06016348
 -0.0098969 ]",0,[-0.673 -0.748  0.329]
